age,cg00034731,-0.00514278325728,0.000740451755689
age,cg00037117,-0.00625310974179,0.000726273245328
age,cg00051952,-0.00580072516428,0.000929337384563
age,cg00060882,-0.00754255597074,0.000505752145294
age,cg00115511,-0.00563903937428,0.000466785108744
age,cg00124708,-0.00572087861536,0.000187889573091
age,cg00206332,-0.00598820395794,0.000160737162624
age,cg00213853,-0.00505158272424,0.000302993093602
age,cg00260448,-0.00693909426693,0.000393091510277
age,cg00265812,-0.00308998225544,0.000459540500586
age,cg00328965,-0.00421862584735,0.000964663542433
age,cg00349460,-0.0102148649894,6.65258959032e-09
age,cg00389552,-0.00641335655773,0.000109947083202
age,cg00391379,-0.00520027093643,0.000296145980331
age,cg00399450,-0.00308497052946,0.000589771178465
age,cg00400999,-0.00720044724222,0.000511314632934
age,cg00428012,-0.00443958046174,0.000676660506487
age,cg00466819,-0.00423882853033,0.000478135721652
age,cg00478198,-0.00298946389703,0.000271082377304
age,cg00479885,-0.00438368704602,0.000757220830453
age,cg00484111,-0.00603124770075,0.000283045945136
age,cg00497084,-0.00666210605398,0.000315848121132
age,cg00524424,-0.00656850353749,6.33172534077e-05
age,cg00603890,-0.00529041260095,0.000169126618155
age,cg00615794,-0.00853548402791,0.000111438601414
age,cg00644637,-0.00690960952321,0.000909356083405
age,cg00695046,-0.00504074500724,0.00107859074105
age,cg00723034,-0.00433463559847,0.00074045333274
age,cg00765885,-0.0060722263144,1.31766350098e-05
age,cg00813156,-0.00266611428781,0.000878785581697
age,cg00815770,-0.00686205952911,0.000481606366624
age,cg00824273,-0.00565896954602,0.000286939382182
age,cg00829575,-0.00795916923402,1.01010964371e-06
age,cg00911962,-0.0114112933625,4.26923790775e-05
age,cg00917018,-0.00543610435458,0.0009158131115
age,cg00928753,-0.00618474098364,5.10835546976e-05
age,cg00931201,0.0105967452674,1.96198185782e-05
age,cg00994038,-0.00461120609715,0.000603965156836
age,cg01078706,-0.00461217273119,0.000640196922306
age,cg01080552,-0.00521564030323,0.000402164207436
age,cg01081720,-0.00689068622691,1.84449659968e-06
age,cg01098518,-0.0106852501718,9.80309972558e-05
age,cg01115636,-0.00615027479235,0.000124880986722
